Ad,name,anothername,parentPac,level,pac,dpac
110106023000,看丹街道,看丹,110106000000,5,110106023000,110106023000
110106024000,五里店街道,五里店,110106000000,5,110106024000,110106024000
110106025000,青塔街道,青塔,110106000000,5,110106025000,110106025000
110106100000,北宫镇,北宫,110106000000,5,110106100000,110106100000
110106101000,王佐镇,王佐,110106000000,5,110106101000,110106101000
110107001000,八宝山街道,八宝山,110107000000,5,110107001000,110107001000
110107002000,老山街道,老山,110107000000,5,110107002000,110107002000
110107003000,八角街道,八角,110107000000,5,110107003000,110107003000
110107004000,古城街道,古城,110107000000,5,110107004000,110107004000
110107005000,苹果园街道,苹果园,110107000000,5,110107005000,110107005000
110107006000,金顶街街道,金顶街,110107000000,5,110107006000,110107006000
110107009000,广宁街道,广宁,110107000000,5,110107009000,110107009000
110107010000,五里坨街道,五里坨,110107000000,5,110107010000,110107010000
110107011000,鲁谷街道,鲁谷,110107000000,5,110107011000,110107011000
110108001000,万寿路街道,万寿路,110108000000,5,110108001000,110108001000
110108002000,永定路街道,永定路,110108000000,5,110108002000,110108002000
110108003000,羊坊店街道,羊坊店,110108000000,5,110108003000,110108003000
110108004000,甘家口街道,甘家口,110108000000,5,110108004000,110108004000
110108005000,八里庄街道,八里庄,110108000000,5,110108005000,110108005000
110108006000,紫竹院街道,紫竹院,110108000000,5,110108006000,110108006000
110108007000,北下关街道,北下关,110108000000,5,110108007000,110108007000
110108008000,北太平庄街道,北太平庄,110108000000,5,110108008000,110108008000
110108010000,学院路街道,学院路,110108000000,5,110108010000,110108010000
110108011000,中关村街道,中关村,110108000000,5,110108011000,110108011000
110108012000,海淀街道,海淀,110108000000,5,110108012000,110108012000
110108013000,青龙桥街道,青龙桥,110108000000,5,110108013000,110108013000
110108014000,清华园街道,清华园,110108000000,5,110108014000,110108014000
110108015000,燕园街道,燕园,110108000000,5,110108015000,110108015000
110108016000,香山街道,香山,110108000000,5,110108016000,110108016000
110108017000,清河街道,清河,110108000000,5,110108017000,110108017000
110108018000,花园路街道,花园路,110108000000,5,110108018000,110108018000
110108019000,西三旗街道,西三旗,110108000000,5,110108019000,110108019000
110108020000,马连洼街道,马连洼,110108000000,5,110108020000,110108020000
110108021000,田村路街道,田村路,110108000000,5,110108021000,110108021000
110108022000,上地街道,上地,110108000000,5,110108022000,110108022000
110108023000,万柳地区,万柳,110108000000,5,110108023000,110108023000
110108024000,东升地区,东升,110108000000,5,110108024000,110108024000
110108025000,曙光街道,曙光,110108000000,5,110108025000,110108025000
110108026000,温泉地区,温泉,110108000000,5,110108026000,110108026000
110108027000,四季青地区,四季青,110108000000,5,110108027000,110108027000
110108028000,西北旺地区,西北旺,110108000000,5,110108028000,110108028000
110108029000,苏家坨地区,苏家坨,110108000000,5,110108029000,110108029000
110108030000,上庄地区,上庄,110108000000,5,110108030000,110108030000
110109001000,大峪街道,大峪,110109000000,5,110109001000,110109001000
110109002000,城子街道,城子,110109000000,5,110109002000,110109002000
110109003000,东辛房街道,东辛房,110109000000,5,110109003000,110109003000
110109004000,大台街道,大台,110109000000,5,110109004000,110109004000
110109005000,王平地区,王平,110109000000,5,110109005000,110109005000
110109006000,永定地区,永定,110109000000,5,110109006000,110109006000
110109007000,龙泉地区,龙泉,110109000000,5,110109007000,110109007000
110109101000,潭柘寺镇,潭柘寺,110109000000,5,110109101000,110109101000
110109104000,军庄镇,军庄,110109000000,5,110109104000,110109104000
110109105000,雁翅镇,雁翅,110109000000,5,110109105000,110109105000
110109106000,斋堂镇,斋堂,110109000000,5,110109106000,110109106000
110109107000,清水镇,清水,110109000000,5,110109107000,110109107000
110109108000,妙峰山镇,妙峰山,110109000000,5,110109108000,110109108000
110111001000,城关街道,城关,110111000000,5,110111001000,110111001000
110111002000,新镇街道,新镇,110111000000,5,110111002000,110111002000
110111004000,向阳街道,向阳,110111000000,5,110111004000,110111004000
110111005000,东风街道,东风,110111000000,5,110111005000,110111005000
110111006000,迎风街道,迎风,110111000000,5,110111006000,110111006000
110111007000,星城街道,星城,110111000000,5,110111007000,110111007000
110111008000,良乡地区,良乡,110111000000,5,110111008000,110111008000
110111009000,周口店地区,周口店,110111000000,5,110111009000,110111009000
110111010000,琉璃河地区,琉璃河,110111000000,5,110111010000,110111010000
110111011000,拱辰街道,拱辰,110111000000,5,110111011000,110111011000
110111012000,西潞街道,西潞,110111000000,5,110111012000,110111012000
110111101000,阎村镇,阎村,110111000000,5,110111101000,110111101000
110111103000,窦店镇,窦店,110111000000,5,110111103000,110111103000
110111104000,石楼镇,石楼,110111000000,5,110111104000,110111104000
110111105000,长阳镇,长阳,110111000000,5,110111105000,110111105000
110111107000,河北镇,河北,110111000000,5,110111107000,110111107000
110111108000,长沟镇,长沟,110111000000,5,110111108000,110111108000
110111109000,大石窝镇,大石窝,110111000000,5,110111109000,110111109000
110111110000,张坊镇,张坊,110111000000,5,110111110000,110111110000
110111111000,十渡镇,十渡,110111000000,5,110111111000,110111111000
110111112000,青龙湖镇,青龙湖,110111000000,5,110111112000,110111112000
110111115000,韩村河镇,韩村河,110111000000,5,110111115000,110111115000
110111208000,霞云岭乡,霞云岭,110111000000,5,110111208000,110111208000
110111209000,南窖乡,南窖,110111000000,5,110111209000,110111209000
110111210000,佛子庄乡,佛子庄,110111000000,5,110111210000,110111210000
110111211000,大安山乡,大安山,110111000000,5,110111211000,110111211000
110111212000,史家营乡,史家营,110111000000,5,110111212000,110111212000
110111213000,蒲洼乡,蒲洼,110111000000,5,110111213000,110111213000
110112001000,中仓街道,中仓,110112000000,5,110112001000,110112001000
110112002000,新华街道,新华,110112000000,5,110112002000,110112002000
110112003000,北苑街道,北苑,110112000000,5,110112003000,110112003000
110112004000,玉桥街道,玉桥,110112000000,5,110112004000,110112004000
110112007000,潞源街道,潞源,110112000000,5,110112007000,110112007000
110112008000,通运街道,通运,110112000000,5,110112008000,110112008000
110112009000,文景街道,文景,110112000000,5,110112009000,110112009000
110112010000,九棵树街道,九棵树,110112000000,5,110112010000,110112010000
110112011000,临河里街道,临河里,110112000000,5,110112011000,110112011000
110112012000,杨庄街道,杨庄,110112000000,5,110112012000,110112012000
110112013000,潞邑街道,潞邑,110112000000,5,110112013000,110112013000
110112104000,宋庄镇,宋庄,110112000000,5,110112104000,110112104000
110112105000,张家湾镇,张家湾,110112000000,5,110112105000,110112105000
110112106000,漷县镇,漷县,110112000000,5,110112106000,110112106000
110112109000,马驹桥镇,马驹桥,110112000000,5,110112109000,110112109000
110112110000,西集镇,西集,110112000000,5,110112110000,110112110000
110112114000,台湖镇,台湖,110112000000,5,110112114000,110112114000
110112117000,永乐店镇,永乐店,110112000000,5,110112117000,110112117000
110112119000,潞城镇,潞城,110112000000,5,110112119000,110112119000
110112120000,永顺镇,永顺,110112000000,5,110112120000,110112120000
110112121000,梨园镇,梨园,110112000000,5,110112121000,110112121000
110112209000,于家务回族乡,于家务,110112000000,5,110112209000,110112209000
110113001000,胜利街道,胜利,110113000000,5,110113001000,110113001000
